Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,605,,Rating + 5",9
2020-02-05,GeForce RTX 2080 Ti FTW3 ULTRA HYDRO COPPER GAMING 11G-P4-2489-KR 11GB GDDR6 RGB LED & iCX2 Technology - 9 Thermal Sensors,EVGA,1,599,,Rating + 5",9
2020-02-05,GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,274,,Rating + 4",43
2020-02-05,GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,269,,Rating + 5",7
2020-02-05,AORUS RTX 2080 TI 11GB DirectX 12 GV-N208TAORUSX W-11GC Video Card,GIGABYTE,1,349,,Rating + 5",40
2020-02-05,GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card 2 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N206SWF2OC-8GD Video Card,GIGABYTE,399,,Rating + 4",7
2020-02-05,AORUS Radeon RX 5700 XT 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTAORUS-8GD Video Card,GIGABYTE,429,,Rating + 4",7
2020-02-05,GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,424,,Rating + 5",7
2020-02-05,GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,GIGABYTE,529,,Rating + 4",4
2020-02-05,GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,GIGABYTE,239,,Rating + 5",6
2020-02-05,AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,GIGABYTE,839,,Rating + 5",9
2020-02-05,GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super AERO ITX OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ITX Video Card,MSI,159,,Rating + 5",2
2020-02-05,GeForce RTX 2080 Ti K|NGP|N GAMING 11G-P4-2589-KR 11GB GDDR6 iCX2 Technology OLED Display Metal Backplate,EVGA,1,899,,Rating + 5",7
2020-02-05,GAMING GeForce GTX 1650 OC 4GB GDDR5 128-bit Gaming Graphics Card Super Compact ZT-T16500F-10L,ZOTAC,149,,Rating + 5",8
2020-02-05,ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ASUS,449,,Rating + 5",1
2020-02-05,Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card RX5700XT PGD 8GO,ASRock,399,,Rating + 4",11
2020-02-05,GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,359,,Rating + 4",68
2020-02-05,Radeon RX 5700 XT THICC II RX-57XT826D6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,XFX,389,,Rating + 4",14
2020-02-05,GeForce GTX 1650 SUPER DirectX 12.1 ZT-T16510F-10L 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,ZOTAC,159,,Rating + 4",6
